2026-06-23 14:03:14 status unpacked libcups2t64:amd64 2.4.7-1.2ubuntu7.9
2026-06-23 14:03:14 status half-installed libcups2t64:amd64 2.4.7-1.2ubuntu7.9
2026-06-23 14:03:14 status unpacked libcups2t64:amd64 2.4.7-1.2ubuntu7.14
2026-06-23 14:03:14 upgrade libdrm-amdgpu1:amd64 2.4.125-1ubuntu0.1~24.04.1 2.4.125-1ubuntu0.1~24.04.2
2026-06-23 14:03:14 status half-configured libdrm-amdgpu1:amd64 2.4.125-1ubuntu0.1~24.04.1
2026-06-23 14:03:14 status unpacked libdrm-amdgpu1:amd64 2.4.125-1ubuntu0.1~24.04.1
2026-06-23 14:03:14 status half-installed libdrm-amdgpu1:amd64 2.4.125-1ubuntu0.1~24.04.1
2026-06-23 14:03:14 status unpacked libdrm-amdgpu1:amd64 2.4.125-1ubuntu0.1~24.04.2
2026-06-23 14:03:14 upgrade libdrm-intel1:amd64 2.4.125-1ubuntu0.1~24.04.1 2.4.125-1ubuntu0.1~24.04.2
2026-06-23 14:03:14 status half-configured libdrm-intel1:amd64 2.4.125-1ubuntu0.1~24.04.1
2026-06-23 14:03:14 status unpacked libdrm-intel1:amd64 2.4.125-1ubuntu0.1~24.04.1
2026-06-23 14:03:14 status half-installed libdrm-intel1:amd64 2.4.125-1ubuntu0.1~24.04.1
2026-06-23 14:03:14 status unpacked libdrm-intel1:amd64 2.4.125-1ubuntu0.1~24.04.2
2026-06-23 14:03:15 upgrade libgl1-mesa-dri:amd64 25.2.8-0ubuntu0.24.04.1 25.2.8-0ubuntu0.24.04.2
2026-06-23 14:03:15 status half-configured libgl1-mesa-dri:amd64 25.2.8-0ubuntu0.24.04.1
2026-06-23 14:03:15 status unpacked libgl1-mesa-dri:amd64 25.2.8-0ubuntu0.24.04.1
2026-06-23 14:03:15 status half-installed libgl1-mesa-dri:amd64 25.2.8-0ubuntu0.24.04.1
2026-06-23 14:03:15 status unpacked libgl1-mesa-dri:amd64 25.2.8-0ubuntu0.24.04.2
2026-06-23 14:03:15 upgrade libglx-mesa0:amd64 25.2.8-0ubuntu0.24.04.1 25.2.8-0ubuntu0.24.04.2
2026-06-23 14:03:15 status half-configured libglx-mesa0:amd64 25.2.8-0ubuntu0.24.04.1
2026-06-23 14:03:15 status unpacked libglx-mesa0:amd64 25.2.8-0ubuntu0.24.04.1
2026-06-23 14:03:15 status half-installed libglx-mesa0:amd64 25.2.8-0ubuntu0.24.04.1
2026-06-23 14:03:15 status unpacked libglx-mesa0:amd64 25.2.8-0ubuntu0.24.04.2
2026-06-23 14:03:15 upgrade libllvm20:amd64 1:20.1.2-0ubuntu1~24.04.2 1:20.1.2-0ubuntu1~24.04.3
2026-06-23 14:03:15 status half-configured libllvm20:amd64 1:20.1.2-0ubuntu1~24.04.2
2026-06-23 14:03:15 status unpacked libllvm20:amd64 1:20.1.2-0ubuntu1~24.04.2
2026-06-23 14:03:15 status half-installed libllvm20:amd64 1:20.1.2-0ubuntu1~24.04.2
2026-06-23 14:03:18 status unpacked libllvm20:amd64 1:20.1.2-0ubuntu1~24.04.3
